변환,원자료,원자료
"2023/01","90.7","93.4"
"2023/02","91.8","93.0"
"2023/03","91.9","92.8"
"2023/04","94.5","92.9"
"2023/05","94.9","93.1"
"2023/06","96.4","93.3"
"2023/07","94.8","93.4"
"2023/08","94.7","93.5"
"2023/09","93.4","93.5"
"2023/10","92.4","93.4"
"2023/11","91.8","93.4"
"2023/12","91.7","93.4"
"2024/01","91.8","93.4"
"2024/02","93.7","93.4"
"2024/03","92.5","93.4"
"2024/04","94.8","93.5"
"2024/05","94.1","93.6"
"2024/06","95.0","93.7"
"2024/07","96.3","93.6"
"2024/08","94.5","93.3"
"2024/09","94.0","92.8"
"2024/10","92.8","92.1"
"2024/11","93.0","91.2"
"2024/12","83.3","90.2"
"2025/01","86.7","89.3"
"2025/02","90.2","88.4"
