변환,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
"2023/01","84,391.0","4,044,620,672.1","20,559.0","862,492,411.1","10,546.0","271,789,394.5","11.0","193,359.3","6,448.0","431,797,208.9","294,666.0","4,913,724,689.8","30,551.0","194,248,441.2","153,795.0","4,310,262,501.6","695.0","5,078,887.7","35,492.0","129,655,052.4","61,891.0","131,830,872.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7,044.0","49,318,625.6","5,198.0","93,330,308.4","722.0","73,543,929.4","4,779.0","564,628,901.7","431.0","34,997,241.2","400.0","4,252,155.2","559.0","30,867,380.1","46.0","14.9","486.0","7,932,787.2","112.0","81,303.9","0.0","0.0","549.0","355,581,159.3","400.0","138,179.9","118.0","130,884.2","325.0","4,691,030.3","354.0","11,672,031.4","264.0","556,841.0","321.0","8,443.0","343.0","113,689,636.8","71.0","29,813.4","0.0","0.0","0.0","0.0","18,855.0","219,363,579.3","762.0","81,536,556.2","1,059.0","264,490,143.7","105,664.0","3,298,239,938.0"
"2023/02","85,826.0","3,916,028,594.0","21,850.0","926,309,911.7","11,378.0","314,021,316.1","11.0","285,866.0","7,567.0","612,547,049.7","298,321.0","4,996,252,872.3","34,598.0","218,221,351.7","154,655.0","4,359,676,129.3","862.0","6,305,853.0","32,292.0","117,676,463.2","60,972.0","118,667,702.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9,497.0","71,272,702.4","5,445.0","104,432,669.8","791.0","67,880,234.4","4,775.0","509,479,412.7","431.0","29,424,128.4","400.0","3,667,485.6","558.0","29,704,046.0","42.0","9.6","488.0","7,769,111.6","110.0","73,042.4","0.0","0.0","549.0","292,949,419.1","400.0","138,653.2","109.0","100,754.4","326.0","3,130,546.1","354.0","8,812,831.1","272.0","658,687.8","321.0","6,444.5","342.0","133,018,694.6","73.0","25,558.4","0.0","0.0","0.0","0.0","22,245.0","185,876,184.3","757.0","78,348,070.0","1,218.0","261,438,313.1","106,592.0","3,477,392,600.2"
"2023/03","97,592.0","4,545,478,079.0","24,710.0","1,078,234,224.4","13,284.0","354,361,750.2","4.0","40,704.7","7,258.0","511,001,245.5","335,143.0","5,281,544,654.6","39,669.0","249,624,020.3","170,710.0","4,531,300,699.7","718.0","6,570,052.2","36,764.0","135,053,053.8","69,259.0","124,130,008.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11,291.0","85,485,548.3","6,732.0","149,381,272.1","936.0","85,638,814.1","5,222.0","583,555,752.7","475.0","31,259,571.7","440.0","3,962,775.9","614.0","33,515,096.0","44.0","8.5","533.0","7,907,812.4","121.0","223,847.2","0.0","0.0","600.0","350,926,817.1","440.0","114,552.2","117.0","97,216.6","357.0","3,534,154.7","386.0","7,774,591.4","288.0","554,230.1","351.0","7,079.7","376.0","143,654,330.2","80.0","23,668.9","0.0","0.0","0.0","0.0","29,804.0","163,946,724.9","773.0","78,031,059.0","1,354.0","404,392,726.8","120,820.0","3,731,932,275.8"
"2023/04","90,848.0","4,116,148,621.1","23,997.0","1,016,948,005.8","12,275.0","332,719,774.0","8.0","86,499.6","7,335.0","560,592,179.6","307,696.0","4,935,925,085.1","33,030.0","213,623,910.6","159,250.0","4,274,032,486.6","779.0","5,529,820.2","35,342.0","132,416,120.4","63,363.0","110,557,952.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10,048.0","77,038,409.8","5,884.0","122,726,385.3","859.0","71,387,294.6","4,769.0","498,728,057.7","430.0","29,536,100.3","400.0","3,627,120.5","558.0","30,615,012.6","45.0","2.6","493.0","7,758,859.2","113.0","53,791.8","0.0","0.0","549.0","283,467,451.5","400.0","93,921.9","113.0","84,827.6","324.0","3,065,404.9","351.0","4,291,540.5","265.0","545,637.8","314.0","6,155.6","342.0","135,564,064.0","72.0","18,166.7","0.0","0.0","0.0","0.0","23,167.0","193,275,345.6","769.0","77,094,123.0","1,029.0","283,348,298.2","111,386.0","3,487,670,264.5"
"2023/05","89,537.0","3,973,341,618.7","22,718.0","971,390,200.1","11,795.0","344,628,442.1","8.0","22,801.1","7,883.0","578,408,632.8","309,459.0","5,064,321,468.3","33,166.0","224,337,708.0","163,763.0","4,409,014,565.0","844.0","6,066,769.3","31,769.0","117,111,929.3","62,239.0","96,545,851.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11,258.0","89,173,842.9","6,420.0","122,070,802.0","795.0","68,438,833.2","4,774.0","556,891,195.7","433.0","34,788,320.4","400.0","3,867,946.5","559.0","32,407,332.2","43.0","2.9","486.0","7,963,697.7","112.0","59,446.2","0.0","0.0","547.0","322,190,906.5","400.0","103,389.7","117.0","127,851.7","326.0","4,106,059.8","352.0","5,211,150.3","267.0","590,472.1","318.0","6,014.8","343.0","145,444,780.8","71.0","23,824.1","0.0","0.0","0.0","0.0","22,999.0","197,822,281.9","747.0","74,180,422.0","1,172.0","144,049,260.0","113,621.0","3,537,443,259.2"
"2023/06","96,007.0","4,308,054,897.9","23,398.0","1,037,776,807.5","13,587.0","365,986,315.4","2.0","6,000.0","9,193.0","626,801,314.9","326,935.0","5,238,748,107.9","36,176.0","242,991,519.5","173,378.0","4,566,377,372.5","887.0","5,444,017.7","31,614.0","116,419,248.1","66,379.0","97,941,541.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12,078.0","93,948,217.0","6,423.0","115,626,191.4","782.0","75,087,349.5","5,002.0","539,200,380.2","454.0","31,099,723.7","420.0","3,860,959.1","588.0","33,024,361.2","38.0","2.6","514.0","7,958,886.7","112.0","123,060.6","0.0","0.0","578.0","297,774,468.5","420.0","96,581.7","130.0","124,273.5","343.0","3,729,902.6","368.0","6,077,001.0","277.0","530,677.4","327.0","5,849.2","359.0","154,768,896.4","74.0","25,736.1","0.0","0.0","0.0","0.0","32,771.0","211,489,978.1","748.0","69,575,352.0","1,173.0","231,694,507.5","122,160.0","3,715,707,051.7"
"2023/07","92,165.0","4,125,903,017.8","22,331.0","983,841,811.6","12,837.0","325,297,416.3","12.0","92,783.0","8,431.0","562,064,787.7","320,227.0","5,143,126,620.6","34,744.0","222,087,268.0","173,999.0","4,535,557,161.4","1,085.0","7,226,913.6","27,402.0","103,342,973.8","67,143.0","105,123,049.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10,292.0","76,631,965.6","5,562.0","93,157,288.6","813.0","70,955,529.2","4,994.0","595,884,016.8","452.0","32,703,492.5","420.0","3,852,114.5","588.0","41,321,739.0","40.0","2.7","514.0","7,917,967.0","116.0","62,692.0","0.0","0.0","576.0","351,718,803.9","420.0","81,741.5","125.0","111,288.3","342.0","3,657,086.7","365.0","9,941,852.6","274.0","575,209.0","329.0","6,140.9","360.0","143,910,158.6","73.0","23,727.7","0.0","0.0","0.0","0.0","21,310.0","175,541,291.4","744.0","65,159,617.0","1,068.0","145,250,381.2","113,712.0","3,575,967,668.8"
"2023/08","95,458.0","4,212,773,339.4","24,417.0","1,048,881,690.9","11,975.0","291,186,101.7","2.0","100,900.8","9,320.0","651,278,657.5","331,600.0","5,539,753,091.2","33,919.0","213,465,182.1","190,542.0","4,957,264,109.8","1,106.0","7,253,833.6","20,113.0","77,479,045.3","68,367.0","97,551,112.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11,328.0","85,524,756.0","6,225.0","101,215,051.6","936.0","71,322,760.8","5,224.0","526,413,704.9","475.0","32,753,659.8","440.0","3,726,033.6","615.0","32,467,293.3","39.0","3.2","534.0","8,038,228.1","124.0","117,739.6","0.0","0.0","603.0","303,243,625.9","440.0","79,812.9","127.0","103,173.6","359.0","3,903,494.1","383.0","4,457,244.5","287.0","531,756.3","342.0","5,465.5","375.0","136,961,504.8","81.0","24,669.7","0.0","0.0","0.0","0.0","20,402.0","165,098,898.7","726.0","60,459,630.0","1,434.0","137,747,563.6","113,526.0","3,708,894,724.3"
"2023/09","87,363.0","4,058,568,076.5","22,772.0","939,397,145.0","10,201.0","289,513,257.3","5.0","31,901.5","8,457.0","542,389,525.8","293,678.0","4,895,708,472.5","30,406.0","202,335,396.5","170,083.0","4,343,544,246.2","663.0","3,558,246.8","19,399.0","74,327,316.4","58,070.0","97,204,356.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9,262.0","69,072,863.8","5,795.0","105,666,046.7","727.0","69,519,916.3","4,522.0","535,504,696.0","408.0","30,633,787.3","380.0","3,586,465.1","533.0","29,306,361.3","36.0","2.0","467.0","7,691,991.3","105.0","36,172.2","0.0","0.0","522.0","304,493,463.2","380.0","110,810.6","108.0","98,843.3","310.0","2,869,956.3","334.0","5,443,469.8","248.0","545,598.6","300.0","6,033.7","325.0","150,659,914.7","66.0","21,826.8","0.0","0.0","0.0","0.0","22,611.0","163,771,797.5","729.0","55,710,962.0","1,138.0","115,161,907.9","106,318.0","3,422,217,526.3"
"2023/10","89,532.0","4,044,640,008.7","21,688.0","925,732,545.5","10,972.0","294,262,118.8","5.0","57,114.3","8,703.0","642,250,423.9","292,031.0","4,928,101,796.2","27,190.0","173,638,406.4","168,291.0","4,379,571,876.9","948.0","6,400,494.0","18,897.0","75,672,112.7","61,111.0","103,928,716.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9,133.0","66,099,532.9","6,461.0","122,790,657.1","786.0","72,169,509.3","4,557.0","565,285,019.8","413.0","32,633,203.9","380.0","3,593,090.6","532.0","31,136,400.0","37.0","2.4","467.0","8,022,068.9","104.0","100,804.9","0.0","0.0","523.0","328,682,953.0","380.0","111,870.8","122.0","136,171.9","312.0","4,198,487.1","332.0","5,643,123.0","254.0","453,706.6","305.0","5,228.8","327.0","150,544,402.2","69.0","23,505.6","0.0","0.0","0.0","0.0","19,930.0","206,515,065.2","716.0","50,024,908.0","1,074.0","69,816,243.1","104,330.0","67,366,181,805.3"
